,threshold,sensibilite,specificite,accuracy,f1_score,youden_j
Seuil clinique retenu (sensibilité prioritaire),0.5,0.8519,0.4717,0.6747,0.7367,0.3236
Seuil Youden (équilibre théorique),0.8,0.5761,0.8726,0.7143,0.6829,0.4487
